code,address,city,state,zip,square_footage,year_opened,county_fips,county_name,description
PIN1,5510 Exploration Dr Marion,Indianapolis,Indiana,46241-9007,NA,2019,18097,Marion,Amazon uses a portion of this space as a seasonal facility
EKI1,,Elkhart,Indiana,46514,800000,2023,18039,Elkhart,5-Story Small Sortable FC
,"Flaugh Road between US, 30 and W, Washington Center Road",Fort Wayne,Indiana,46818,629200,2022,18003,Allen,"Small Sortable. 2,900,000 sq ft total with mezzanines. Project Mastodon."
SDF8,900 Patrol Road,Jeffersonville,Indiana,47130-7761,1002000,2012,18019,Clark,"Specialty Fulfillment Center for Apparel (95%); shoes, watches, and jewelry"
SMI1/DDT1,1400 E 10 Mile Road,Hazel Park,Michigan,48030-1263,150000,2021,26125,Oakland,SMI1 is a Mini Fulfillment Center / Amazon Fresh for Detroit Same Day Delivery Service within 45 minutes Drive Time. DDT1 is a Delivery Station in the same building Sq Ft is an estimate
DET1,39000 Amrhein Rd,Livonia,Michigan,48150,100900,2017,26163,Wayne,Large Non-Sortable Project Mercury
DTW1,32801 Ecorse Road,Romulus,Michigan,48174,855000,2018,26163,Wayne,Small Sortable
DTW3/HDT3,33701 Prescott St Huron Township,Romulus,Michigan,48174,752400,2021,26163,Wayne,DTW3 is a XLFC (Extra Large) Fulfilment Center. HDT3 is a Heavy/Bulky Delivery Station.
,West State Fair Ave/8-Mile Road,Detroit,Michigan,48203,823000,2022,26163,Wayne,Proposed 5-Story FC will be on site of Michigan State Fairgrounds at the former Gordon Ramsay Shopping Mall
DET2,50500 Mound Road,Shelby Township,Michigan,48317 1318,1000000,2018,26099,Macomb,Large Non-Sortable
DET3/DDT6,1200 Featherstone Road,Pontiac,Michigan,48342-1938,823000,2021,26125,Oakland,5-Story FC will be on site of Pontiac Silverdome and includes DDT6 (200.000 sq ft delivery station).
,Corner of Mount Hope Highway and Creyts Road,Delta Township,Michigan,48917,1000000,2022,26045,Eaton,Large Non-Sortable
GRR1,4500 68th St SE Caledonia,Gaines Township,Michigan,49316-9191,855000,2020,26081,Kent,Small Sortable
DSM5,500 32nd Street SW Bondurant,Des Moines,Iowa,50035,645000,2020,19153,Polk,Small Sortable - Project Bluejay. 4-Story Facility.
,North Division Street,Davenport,Iowa,52806,629200,2022,19163,Scott,"Small Sortable. 2,900.000 sq ft total with mezzanines. Project Scrabble."
SWI1,W232 N2950 Roundy Circle East,Pewaukee,Wisconsin,53072,165000,2021,55133,Waukesha,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Milwaukee with Same Day Delivery Service within 45 Minutes Drive Time.
MKE1,3501 120th Ave,Kenosha,Wisconsin,53144-7502,1000000,2015,55059,Kenosha,"MKE1 is a Small / Large Sortable facility. 1,100 associates. Facility includes a Textbook Rental Processing Center §155 Million investment"
MKE2,9700 South 13th Street,Oak Creek,Wisconsin,53154,669000,2020,55079,Milwaukee,Small Sortable Project Arrow
JVL1,1255 Gateway Boulevard Rockford,Beloit,Wisconsin,53511,100000,2020,55105,Rock,Non-Sortable.
MSN4,1245 E Washington Ave Suite 300,Madison,Wisconsin,53703,210000,2011,55025,Dane,ShopBop warehouse #2 in Madison. Sq Ft is an estimate
MSN5,"4718 Helgesen Dr Suite 1, Dane",Madison,Wisconsin,53718-6740,161500,2006,55025,Dane,ShopBop acquired by Amazon in 2006
,Mid Valley Drive & Freedom Drive,Lawrence,Wisconsin,54115,635000,2023,55009,Brown,Small Sortable for Green Bay/Appleton Region Not confirmed yet
HMS9,9800 217th Street West,Lakeville,Minnesota,55044-5076,350000,2021,27037,Dakota,Large Non-Sortable
MSP2,Winnetka Ave N & 109th Avenue,Brooklyn Park,Minnesota,55316,694500,2021,27053,Hennepin,Small Sortable Project Hotdish.
MSP1,2601 4th Ave E,Shakopee,Minnesota,55379-1726,860000,2016,27139,Scott,Small Sortable $220 Million facility 2.500 associates
SMN1,7500 Setzler Parkway N,Brooklyn Park,Minnesota,55445-1879,120000,2021,27053,Hennepin,Mini Fulfillment Center / Amazon Fresh for Minneapolis Same Day Delivery Service within 45 minutes Drive Time
,Hartford Avenue Johnston,Rhode,Island,57107,820000,2023,46099,Minnehaha,Project Schooner. 5-story Small Sortable FC.
FSD1,6700 N Marion Rd,Sioux Falls,South Dakota,57107,640000,2022,46099,Minnehaha,Project Stampede 4-story Small Sortable FC
FAR1,3701 40th Ave N,Fargo,North Dakota,58102-7400,1100000,2021,38017,Cass,Large Non-Sortable Facility. Project Force.
SIL2,7555 Linder Ave,Skokie,Illinois,60077,140300,2021,17031,Cook,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Chicago. Same Day Service Within 45 Minute Drive Time.
MDW8,1750 Bridge Drive,Waukegan,Illinois,60085,626800,2017,17097,Lake,Large Non-Sortable
,11400 Venture Court Road,Huntley,Illinois,60142,1160200,2022,17111,McHenry,Large Non-Sortable FC.
SIL3,27W501 North Ave Suite 100,West Chicago,Illinois,60185,265600,2021,17043,DuPage,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Chicago West Side Same Day Service Within 45 Minute Drive Time.
ORD2,23714 West Amoco Rd,Channahon,Illinois,60410-8758,1015700,2020,17197,Will,Large Non-Sortable.
KIL1,3900 S Brandon Rd,Elwood,Illinois,60421-9705,250500,2021,17197,Will,Kindle Flex Operation
IGQ1,15924 Western Ave,Markham,Illinois,60428-4849,855000,2021,17031,Cook,Small Sortable 5 stories totaling 3 8M sq ft
MDW4,201 Emerald Drive,Joliet,Illinois,60433-3281,700000,2016,17197,Will,
ORD5,7001 Vollmer Road Frankfort,Matteson,Illinois,60443-1502,855000,2021,17031,Cook,Small Sortable 5 stories totaling 3 8M sq ft
MDW6,1125 W Remington Blvd,Romeoville,Illinois,60446-6529,767000,2016,17197,Will,Large Non-Sortable
MDW7,6605 W Monee Manhattan Road,Monee,Illinois,60449-9668,856600,2017,17197,Will,MDW7 is Small Sortable
IGQ2,23289 S Central Ave,University Park,Illinois,60449-9138,1015000,2021,17197,Will,Large Non-Sortable Project Condor.
ORD4,25810 S Ridgeland Ave,Monee,Illinois,60449,125000,2019,17197,Will,ORD4 is Make on Demand (MOD)
HMW1/HIL3,30260 Graaskamp Blvd,Wilmington,Illinois,60481-2007,810900,2020,17197,Will,HMW1 is a Large Non-Sortable FC HIL3 is a Heavy/Bulky Delivery Station
KRB6,4200 Ferry Rd,Aurora,Illinois,60502,402900,2017,17043,DuPage,Specialty FC KRB6 is an Amazon Kariba FC (Amazon Basics line of products).
SIL1,2379 Davey Road,Woodbridge,Illinois,60517-4988,124700,2019,17043,DuPage,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Chicago. Same Day Service Within 45 Minute Drive Time.
MDW9,2865 Duke Parkway,Aurora,Illinois,60563,100000,2018,17043,DuPage,Large Non-Sortable
RFD1,4650 Shepard Trail Suite A,Rockford,Illinois,61103,140000,2021,17201,Winnebago,"Value Added Product Fulfillment Center Print custom shirts, phones cases and pop sockets ordered on demand"
STL6/STL7/HLU1,3931 Lakeview Corporate Dr,Edwardsville,Illinois,62025-2801,769500,2016,17119,Madison,STL6 is Amazon Robotics Small Sortable STL7 is a Amazon Robotics Quick Deploy (QD) Fulfillment Center which includes Print on Demand Book facility. Amazon Fresh facility. HLU1 is a Heavy/Bulky Delivery Station.
STL4,3050 Gateway Commerce Center Drive South,Edwardsville,Illinois,62025-2815,717000,2016,17119,Madison,Large Non-Sortable
STL8,4000 Premier Parkway St,Charles,Missouri,63301,855000,2019,29183,St. Charles,Small Sortable
STL3,3200 East Sawyer Road,Republic,Missouri,65619,100000,2021,29077,Greene,Large Non-Sortable Project Lunker near Springfield
PKC1,30901 W 185th St,Edgerton,Kansas,66021,NA,2021,20091,Johnson,Amazon uses a portion of this Pepsi Facility as a seasonal facility
MKC4,19535 Waverly Rd Gardner,Edgerton,Kansas,66030,822100,2016,20091,Johnson,Large Non-Sortable Inland port facility. Employs 1.000 associates
MKC6,6925 Riverview Ave,Kansas City,Kansas,66102-3047,856000,2017,20209,Wyandotte,Small Sortable
F0E1,9700 Leavenworth Road Building A,Kansas City,Kansas,66109-3551,1008000,2021,20209,Wyandotte,Large Non-Sortable. Project Super Bowl.
ICT2,7130 North Broadway Avenue Park City,Wichita,Kansas,67219-1410,100000,2021,20173,Sedgwick,Large Non-Sortable.
OMA1,NE of intersection of Nebraska Highways 370 and 50,Papillion Omaha,Nebraska,68138,700000,2022,31153,Sarpy,Small Sortable 4-story Building Project Wills.
OMA2,14248 NE-370,Omaha,Nebraska,68138-3849,1000000,2021,31153,Sarpy,Amazon XLFC (Extra Large) Fulfilment Center Sq Ft is an estimate
LFT1,3620 NE Evangeline Throughway Carencro,Lafayette,Louisiana,70520-5948,1000000,2021,22055,Lafayette,Amazon has acquired the Evangeline Downs site
,9401 Cortana Place,Baton Rouge,Louisiana,70815,855000,2022,22033,East Baton Rouge,Small Sortable 5-level facility @ 90’ Height. Will also have a co-located delivery station
,Corporate Drive,Shreveport,Louisiana,71107,650000,2022,22017,Caddo,Small Sortable. Not confirmed yet.
LIT2,13001 Highway 70,North Little Rock,Arkansas,72117-5026,1058100,2021,5119,Pulaski,Large Non-Sortable FC. Project Runner.
LIT1,7200 Zeuber Road,Little Rock,Arkansas,72206-5039,826000,2021,5119,Pulaski,Small Sortable 4-story fulfillment center Project Diamond.
OKC1,9201 S Portland Ave,Oklahoma City,Oklahoma,73159,640000,2019,40109,Oklahoma,Small Sortable Project Star
OKC2,8991 S Portland Ave,Oklahoma City,Oklahoma,73159,1100000,2021,40109,Oklahoma,Large Non-Sortable. Project Glove.
TUL2,4040 N 125th East Ave,Tulsa,Oklahoma,74116-2102,640000,2020,40143,Tulsa,Project Dylan. 4-story Small Sortable FC.
87X2,1625 Hutton Drive,Carrollton,Texas,75006-6610,235900,2019,48113,Dallas,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Dallas with Same Day Delivery Service within 45 Minutes Drive Time.
DFW5,4121 International Pkwy,Carrollton,Texas,75007,146000,2010,48121,Denton,Amazon's Wootl Apparel Manufacturing Plant in Dallas Area
DFW6,940 W Bethel Road,Coppell,Texas,75019-4424,1053400,2013,48113,Dallas,"Large Non-Sortable (televisions, furniture and electronics)"
FTW7/FTW9,944 W Sandy Lake Road,Coppell,Texas,75019-3989,604800,2017,48113,Dallas,"FTW7 is Make on Demand, FTW9 is a Specialty FC for shoes launched in October  2019"
FTW2/HDA9,2701 West Bethel Road,Coppell,Texas,75019,104160,2016,48113,Dallas,FTW2 is Large Non-Sortable HDA9 is a co- located Heavy/Bulky Delivery Station
FTW5,1475 Akron Way Kaufman,Forney,Texas,75126-3566,1080000,2021,48257,Kaufman,Role of building TBD. Project Forney.
PTX1,2101 Danieldale Road,Lancaster,Texas,75134-1551,NA,2018,48113,Dallas,Amazon uses a portion of this space as a seasonal facility
,1400 Southport Parkway Building #1,Wilmer,Texas,75172-1265,107530,2021,48113,Dallas,New Fulfillment Center in Wilmer
DAL3,1301 Chalk Hill Road,Dallas,Texas,75211,855000,2020,48113,Dallas,"Sortable 1,500 associates to be hired"
37X3,4445 Rock Quarry Road #400,Dallas,Texas,75211-1409,175400,2021,48113,Dallas,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Dallas with Same Day Delivery Service within 45 Minutes Drive Time
FTW8,3351 Balmorhea Dr,Dallas,Texas,75241-7304,918800,2017,48113,Dallas,Seasonal Facility
IAH1,9155 Southlink Drive,Dallas,Texas,75241-7510,1004000,2021,48113,Dallas,Role of building TBD.
DAL2,2601 S Airfield Drive,Dallas,Texas,75261,1000000,2020,48439,Tarrant,Non-Sortable
FTW6,"2601 W Bethel Road, Grapevine",Coppell,Texas,75261-4034,100280,2018,48439,Tarrant,Small Sortable
,E Airfield Drive & Valley View Lane,Dallas,Texas,75261,517500,2021,48439,Tarrant,Role of building TBD Project not yet confirmed.
,1851 NE Loop 820,Fort Worth,Texas,76106,1023500,2021,48439,Tarrant,Facility likely Large Non-Sortable.
AFW1,1511 NE Loop 820 N,Fort Worth,Texas,76108-9755,465500,2021,48439,Tarrant,Role of building TBD
XUSB,14900 Frye Road,Fort Worth,Texas,76155-2726,495000,2014,48439,Tarrant,"Large Non-Sortable (e g. canoes, fishing rods) Fulfillment center is outsourced to 3PL XPO Logistics"
DFW7,700 Westport Parkway Haslet,Fort Worth,Texas,76177-4513,1200000,2013,48439,Tarrant,"Small Sortable (Ships smaller items like books, small electronics and DVDs) Facility budgeted at S100 Million. Expanded in 2015 for $21.5 Million."
FTW3/FTW4,15201 Heritage Parkway,Fort Worth,Texas,76177-2517,1000000,2016,48439,Tarrant,FTW3 is the VNA side of the FC with Softlines FTW4 is a Quick Deploy (QD) Fulfillment Center which is a hybrid small sortable FC. Print on Demand Book facility. Amazon Fresh facility
AUS3,1878 Exchange Parkway Waco,Waco,Texas,76712-6903,640000,2021,48309,McLennan,Small Sortable
HOU2,10550 Ella Boulevard,Houston,Texas,77038-2324,855000,2017,48201,Harris,Small Sortable: Products < 25 Lbs
17X2/HHO2,6911 Fairbanks N,Houston,Texas,77040,252000,2019,48201,Harris,"ITX2 is a Specialty Small and Light Products FC, HHO2 is a Heavy/Bulky Delivery Station"
STX5,5215 Campbell Rd,Houston,Texas,77041,157900,2021,48201,Harris,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for West Houston with Same Day Delivery Service within 45 Minutes Drive Time.
IIX1,9851 Fallbrook Pines Dr #150,Houston,Texas,77064-3329,111000,2018,48201,Harris,Specialty Small and Light Products
HOU7,16225 Tomball Parkway Building 1,Houston,Texas,77064,443500,2021,48201,Harris,Large Non-Sortable
HOU6,10507 Harlem Road,Richmond,Texas,77407-9563,855000,2021,48157,Fort Bend,Small Sortable. 5.5 Story building.
HOU3,31555 US-90 Katy,Brookshire,Texas,77423-2769,1016000,2018,48473,Waller,Large Non-Sortable
STX4,10611 Red Bluff Rd Building 8,Pasadena,Texas,77507,297400,2021,48201,Harris,Mini Fulfillment Center / Amazon Fresh / Delivery Station for East Houston with Same Day Delivery Service within 45 Minutes Drive Time.
HOU8,2303 Hurricane LaneFresno,Missouri City,Texas,77545,1008000,2021,48157,Fort Bend,New Fulfillment Center in Houston
SAT1,6000 Schertz Parkway,Schertz,Texas,78154-1461,1262300,2013,48029,Bexar,Large Non-Sortable Schertz is nearby San Antonio. TX. Facility Investment $166 Million
STX7,2214 Corner Ridge,San Antonio,Texas,78219,251600,2021,48029,Bexar,Mini Fulfillment Center / Amazon Fresh / Delivery Station for San Antonio with Same Day Delivery Service within 45 Minutes Drive Time. Sq Ft is an estimate.
SAT3,6806 Cal Turner Drive,San Antonio,Texas,78220,750000,2022,48029,Bexar,Small Sortable 4-Story DC Project Star
SAT4,10384 W US Hwy 90,San Antonio,Texas,78245-9512,1005000,2021,48029,Bexar,Non-Sortable Fulfillment Center West of San Antonio
STX6,1316 New Meister Ln #200,Pflugerville,Texas,78660,150000,2021,48453,Travis,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Austin with Same Day Delivery Service within 45 Minutes Drive Time. Sq Ft is an estimate
AUS2,2000 E Pecan Street Pflugerville,Austin,Texas,78660,823600,2021,48453,Travis,Small Sortable Project Charm
SAT2,1401 East McCarty Lane,San Marcos,Texas,78666-8969,855000,2016,48209,Hays,Small Sortable Facility Investment $191 Million
SAT6,1346 Fortuna Rd,San Marcos,Texas,78666,1005000,2021,48209,Hays,Non-Sortable Fulfillment Center and Delivery Station
PAU2,"4500 S Pleasant Valley Road, Ste 201",Austin,Texas,78744,162200,2020,48453,Travis,Amazon Pharmacy #002 - PillPack Phoenix Distribution Center
AMA1,2395 N Lakeside Drive ,Amarillo,Texas,79118,1000000,2022,48381,Randall,Non-Sortable Fulfillment Center Amarillo
ELP1,12101 Emerald Pass Drive,El Paso,Texas,79928-7808,625000,2021,48141,El Paso,5-story Small Sortable FC Project William Unit One
DEN8,20500 E Colfax Ave,Aurora,Colorado,80018,1200000,2022,8005,Arapahoe,Role of Facility TBD
DEN2,22205 E 19th Avenue,Aurora,Colorado,80019,1000000,2017,8001,Adams,Large Non-Sortable 1.000 associates
DEN7/HDE2,22300 E 26th Ave,Aurora,Colorado,80019,555800,2021,8001,Adams,DEN7 is a Large Non-Sortable FC. HDE2 is a co-located Heavy/Bulky Delivery Station
DEN3/COS1,14601 Grant Street,Thornton,Colorado,80023,855000,2018,8014,Broomfield,Sortable 1.500 associates
SCO1,6050 Washington Street,Denver,Colorado,80216-1285,159300,2021,8031,Denver,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Denver. Same Day Delivery Service within 45 minutes Drive Time
,SW Corner County Road 30 and 1-25,Loveland,Colorado,80528,800000,2023,8069,Larimer,Facility not yet confirmed. 3-story Small Sortable FC. Under Protest.
DEN4,4222 Integration Loop,Colorado Springs,Colorado,80916-5766,640000,2021,8041,El Paso,Project Rodeo. 5-story Small Sortable FC. Not yet confirmed
BOI2,5295 East Franklin Road,Nampa,Idaho,83687-5548,650000,2020,16027,Canyon,Project Bronco. Small Sortable. Project delayed 12 -18 months.
,6259 S Pleasant Valley Road,Nampa,Idaho,83709,1082300,2023,16001,Ada,Large Non-Sortable FC. Project Dove. Not yet confirmed.
SLC2,7148 Old Bingham Highway,West Jordan,Utah,84081,100000,2020,49035,Salt Lake,Non-Sortable Fulfillment Center in Salt Lake City. 1.100 Associates.
SLC4,770 South Gladiola Suite 500,Salt Lake City,Utah,84104,638000,2019,49035,Salt Lake,Specialty Merchandise by Amazon (Private Label)
SLC1,777 N 5600 West,Salt Lake City,Utah,84116,855000,2018,49035,Salt Lake,Small Sortable 3.900 associates
SLC3/HSL1,355 N John Glenn Road,Salt Lake City,Utah,84116-4413,503200,2019,49035,Salt Lake,SLC3 is a Non-Sortable Fulfillment Center in Salt Lake City HSL9 is a Heavy/Bulky Delivery Station.
SUT1,6338 W 700 North,Salt Lake City,Utah,84116,150000,2021,49035,Salt Lake,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Salt Lake City. Same Day Service Within 45 Minute Drive Time.
PPX2,3809 E Watkins St Maricopa,Phoenix,Arizona,85034,129500,NA,4013,Maricopa,Amazon Pharmacy #002 - PillPack Phoenix Distribution Center
SAZ1/VAZ1/HPX1,3333 S 7th St,Phoenix,Arizona,85040-1182,149200,2019,4013,Maricopa,SAZ1 is a Mini Fulfillment Center / Amazon Fresh / Delivery Station for Phoenix Same Day Delivery Service within 45 minutes Drive Time HPX1 is a Heavy/Bulky Delivery Station for Phoenix
XUSH,7037 West Van Buren Street,Phoenix,Arizona,85043-3313,543400,2015,4013,Maricopa,Large Non-Sortable EC Run by 3PL XPO Logistics
PHX6/TFC1,4750 & 5050 West Mohave Street,Phoenix,Arizona,85043-8305,120560,2010,4013,Maricopa,Large Sortable Fulfillment Center in one half of the building Small Sortable Fulfillment Center in the other half
PHX7/PHX8/TEN3,800 N 75th Ave,Phoenix,Arizona,85043-3101,1267100,2011,4013,Maricopa,PHX7 is Large Non-Sortable
TUS1,5333 West Lower Buckeye Rd,Phoenix,Arizona,85043,473200,2017,4013,Maricopa,Returns Facility
AZA4/HPX2,3333 S 59th Ave,Phoenix,Arizona,85043,554000,2020,4013,Maricopa,Large Non-Sortable FC. HPX2 is a co- located heavy/bulky delivery station.
GYR3/KRB3,8181 W Roosevelt St,Phoenix,Arizona,85043-2356,110000,2020,4013,Maricopa,GYR3 is a Large Non-Sortable FC. KRB3 is an Amazon Kariba FC (Amazon Basics line of products).
PHX3,6835 West Buckeye Road,Phoenix,Arizona,85043-4428,1009400,2007,4013,Maricopa,"Legacy Sortable Fulfillment Center Originally opened at 605.000 Sq. Ft and expanded by 400,000 Sq Ft in Dec. 2011"
,N side of Pecos Rd between Sossaman & Ellsworth,Mesa,Arizona,85212,635000,2023,4013,Maricopa,Small Sortable 5-story fulfillment center. Project Thunderbird. Not confirmed yet.
GYR4,10205 W Roosevelt St,Avondale,Arizona,85323,242500,2020,4013,Maricopa,Specialty Merch by Amazon (print on demand service that prints and sells designs uploaded on the internet)
PHX5,16920 W Commerce Dr,Goodyear,Arizona,85338-3620,820400,2008,4013,Maricopa,"Large Non-Sortable Fulfillment Center. Originally opened as PHX4 Delayed Allocation facility at 800.000 Sq. Ft. and expanded to 1.2 Million Sq. Ft by adding 2 x 230,000 sq ft mezzanines in 2011"
GYR1,605 143rd Avenue,Goodyear,Arizona,85338,855000,2020,4013,Maricopa,Amazon Robotics Sortable 4-Story building
ATS3,8601 W Jefferson St Suite 300,Tolleson,Arizona,85353,184100,2021,4013,Maricopa,Role of Facility TBD.
PHX9,777 S 79th Ave,Tolleson,Arizona,85353-3140,NA,2015,4013,Maricopa,PHX9 is a Seasonal Supplemental FC within a Pepsi/Quaker building.
TUS2,6701 S Kolb Road,Tucson,Arizona,85756,857400,2020,4019,Pima,"Small Sortable Also processes returns, light assembly. 3-D printing and direct product pickup by customers from automated kiosks"
ABQ1,701 Atrisco Vista Blvd,Albuquerque,New Mexico,87120,650000,2021,35001,Bernalillo,Small Sortable
LAS2,3837 Bay Lake Trail Suite 111,North Las Vegas,Nevada,89030-4428,283900,2008,32003,Clark,Amazon Pantry (FDFC) Return Center
LAS6,4550 Nexus Way,North Las Vegas,Nevada,89081,813100,2017,32003,Clark,Large Non-Sortable
LAS7,6001 E Tropical Parkway,North Las Vegas,Nevada,89115,855000,2019,32003,Clark,Small Sortable. Amazon Fresh is Likely in this Building as well.
LAS8/LAS9,5801 N Nicco Way,North Las Vegas,Nevada,89115,341300,2020,32003,Clark,Merch by Amazon and Print on Demand.
IVSE,2951 Marion Drive Unit 101,North Las Vegas,Nevada,89115,475000,2018,32003,Clark,Specialty Small and Light Products
IVSF,2921 Marion Drive Unit 109,North Las Vegas,Nevada,89115,676000,2018,32003,Clark,Specialty Small and Light Products
VGT1,5802 E Tropical Parkway,North Las Vegas,Nevada,89115,855000,2021,32003,Clark,Small Sortable
SNV1,"7970 S Valley View Blvd, Suite 130",Las Vegas,Nevada,89139,150000,2021,32003,Clark,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Las Vegas with Same Day Delivery Service within 45 Minutes Drive Time. Sq Ft is an Estimate.
RNO4,8000 North Virginia Street,Reno,Nevada,89506,634000,2015,32031,Washoe,"Large and Bulk Goods Facility replaced the Fernley, Nevada FC"
LGB1,2417 E Carson St,Long Beach,California,90810,468100,NA,6037,Los Angeles,Supplemental Seasonal FC
XLA3,16047 Cypress Ave,Chino,California,91708,613800,2020,6071,San Bernardino,Large Non-Sortable Operated by 3PL NFI Industries Sq Ft is an estimate
SNA6/SLA5/SNA9/DCA2,"5250 Goodman Way 5040 Goodman Way, Building B",Eastvale,California,91752-5088,103320,2016,6065,Riverside,SNA6 is Amazon Robotics Sortable. SLA5 is likely a sortation center. SNA9 is Amazon Robotics Quick Deploy Fulfillment Center which includes Print on Demand Book facility. Amazon Fresh facility. Delivery Station DCA2 is focused on food delivery for Whole Foods / Amazon Fresh stores
LGB3,4950 Goodman Way Building 1,Eastvale,California,91752-5087,885000,2018,6065,Riverside,Amazon Robotics Small Sortable 4-Story Building
,,Ontario,California,91761,800000,2022,6071,San Bernardino,1500 Associates
SCA4,16915 Via Del Campo,San Diego,California,92127-1717,141500,2021,6073,San Diego,SCA4 is a Mini Fulfillment Center / Amazon Fresh / Delivery Station for San Diego Same Day Delivery Service within 45 minutes Drive Time.
SAN3,6971 Otay Mesa Road,San Diego,California,92154-5722,640000,2021,6073,San Diego,Project Arcilia 5-story Small Sortable FC.
,Otay Mesa Road,San Diego,California,92154,702500,2022,6073,San Diego,Role of Facility TBD
,36900 W 4th Street,Beaumont,California,92223,1000200,2022,6065,Riverside,Large Non-Sortable FC.
PSP1,1010 West Fourth Street,Beaumont,California,92223-2684,640000,2020,6065,Riverside,Small Sortable Project Cherry
PCA3/XIX6,10681 Production Ave Building 6,Fontana,California,92337-8006,600000,2019,6071,San Bernardino,PCA3 is a Seasonal Overflow / Cross Dock Facility. XIX6 is a small inbound Cross Dock operation Sq Ft is an estimate
XUSV,2255 W Lugonia Ave,Redlands,California,92374-5049,601300,2018,6071,San Bernardino,Stocking center for large non-sortable. Facility caught fire 2020-dun-05.
ONT9,2125 W San Bernardino Ave,Redlands,California,92374-5005,777600,2014,6071,San Bernardino,Non-Sortable Fulfillment Center Ships large items (e g televisions)
LGB4,27517 Pioneer Ave,Redlands,California,92374-1501,777600,NA,6071,San Bernardino,"Larger items, such as sports equipment, patio furniture and pet food"
LGB7,1660 N Linden Ave,Rialto,California,92376,850000,2019,6071,San Bernardino,"Small Sortable books, small electronics, school supplies and home goods"
SNA4,2496 West Walnut Ave,Rialto,California,92376-3009,882200,2015,6071,San Bernardino,Large Non-Sortable 300 people
TEN2,1590 Tamarind Ave,Rialto,California,92376-3008,543400,2016,6071,San Bernardino,Large Non-Sortable
,Caliente Road & 115,Hesperia,California,92394,1000000,2022,6071,San Bernardino,Large Non-Sortable 1.000 associates
ONT2/ONT3/ONT4/ONT7,1910 & 2020 E Central Ave Building 3,San Bernardino,California,92408-0123,950000,2012,6071,San Bernardino,ONT2 is Small Sortable ONT3 is Make on Demand Printing (MOD) ONT7 is Pantry 2.000 associates
SBD2,1494 S Waterman Ave,San Bernardino,California,92408-2805,103210,2020,6071,San Bernardino,Large Non-Sortable
SNA7/SNA8/LGB5/XIX7/KRB1,555 East Orange Show Rd,San Bernardino,California,92408-2453,1102600,2016,6071,San Bernardino,SNA7 is Amazon Robotics Large Sortable SNA8 is Amazon Robotics Quick Deploy XIX7 is Inbound Cross Dock KRB1 is Amazon Kariba FC (Amazon Basics line of products)
LGB6,20901 Krameria Avenue,Riverside,California,92508,1000000,2017,6065,Riverside,Large Non-Sortable
ONT6/HLA3,24208 San Michele Rd,Moreno Valley,California,92551-9561,1254600,2014,6065,Riverside,"ONT6 is a Legacy Apparel & Footwear Fulfillment Center with 1,800 associates HLA3 is a heavy/bulky delivery station for products 60 - 300 Lbs"
PCA21/KRB4,4501 Patterson Ave,Perris,California,92571-9722,800000,2021,6065,Riverside,PCA2 is a Seasonal Overflow / Cross Dock Facility. KRB4 is an Amazon Kariba FC (Amazon Basics line of products).
XUSO,657 Nance street,Perris,California,92571,864000,2017,6065,Riverside,Large Non-Sortable Operated by 3PL NFI Industries
LGB9/HLA4,4375 N Perris Blvd,Perris,California,92571,100860,2020,6065,Riverside,Large Non-Sortable (LGB9). HLA4 is a co- located Heavy/Bulky Delivery Station.
SAX2,150 E Radio Rd Building B,Corona,California,92879,168100,2021,6065,Riverside,Role of Facility TBD
OXR1,3100 Sakioka Drive,Oxnard,California,93030-8966,857200,2021,6111,Ventura,4-story Small Sortable FC. 1000 Associates. Project Bruin.
BFL2,4500 Express Ave,Shafter,California,93263,100000,2021,6029,Kern,Specialty Soft Lines (Apparel & Footwear).
FAT2,3315 N Kelsey St,Visalia,California,93291-9308,1000000,2021,6107,Tulare,Large Non-Sortable.
BFL1,1601 Petrol Road,Bakersfield,California,93308,640000,2020,6029,Kern,Small Sortable.
FAT1,3575 S Orange Ave,Fresno,California,93725-9366,855000,2018,6019,Fresno,Sortable 2500 associates
,8820 Santa Teresa Blvd,San Jose,California,95141,800000,2023,6085,Santa Clara County,Small Sortable 3 storeies high Not confirmed yet. Under protest Sq ft is an estimate
SCK1,4532 Newcastle Road,Stockton,California,95215-9465,1122300,2020,6077,San Joaquin,Large Non-Sortable
OAK4,1555 N Chrisman Rd,Tracy,California,95304-9370,120000,2013,6077,San Joaquin,OAK4 is a Small Sortable Fulfillment Center
SCK3/HSF5,3565 N Airport Way,Manteca,California,95336-8696,746800,2020,6077,San Joaquin,Large Non-Sortable
OAK3,255 Park Center Drive,Patterson,California,95363-8876,1000000,2013,6099,Stanislaus,Project X. Large Non-Sortable 1600 people
