"code","address","city","state","zip","square_footage","year_opened","county_fips","county_name","description","placenames","oc_formatted","oc_lat","oc_lng"
"","Majestic Airport Center IV Buiding A, South Fulton Rd, Union City","Atlanta","Georgia","30349",600000,2021,13121,"Fulton","Disaster Relief Facility","Majestic Airport Center IV Buiding A, South Fulton Rd, Union City, Atlanta, Georgia, 30349","Union Rd SW, Atlanta, GA, United States of America",33.683003,-84.580171
"HGA6","5115 Stonewall Tell Rd Building 1, Union City","Atlanta","Georgia","30349",1150000,2021,13121,"Fulton","Large Non-Sortable FC Role of Facility to be confirmed.","5115 Stonewall Tell Rd Building 1, Union City, Atlanta, Georgia, 30349","Stonewall Tell Rd, Atlanta, GA, United States of America",33.615836,-84.558713
"MGE1/MGE7","650 Broadway Ave","Braselton","Georgia","30517-3002",613000,2016,13157,"Jackson","Large Sortable : Household decor items, sporting equipment and gardening tools","650 Broadway Ave, Braselton, Georgia, 30517-3002","650 Broadway Avenue, Braselton, GA 30517, United States of America",34.1064981,-83.7719226
"","5000 Lanier Islands Parkway Building 1","Buford","Georgia","30518",815600,2020,13135,"Gwinnett","Building 1 is a FC is for Sports equipment, patio furniture, fishing rods, pet food, kayaks, bicycles and larger household goods. Building 2 (DGE9) is a Delivery Station","5000 Lanier Islands Parkway Building 1, Buford, Georgia, 30518","Lanier Ave NE, Buford, GA, United States of America",34.100633,-84.029426
"MGE3","808 Hog Mountain Road Building F","Jefferson","Georgia","30549",822300,2017,13157,"Jackson","Large Sortable/Non-Sortable","808 Hog Mountain Road Building F, Jefferson, Georgia, 30549","808 Hog Mountain Road, Jefferson, GA 30549, United States of America",34.1769054,-83.6029471
"AGS2/PGA1","429 Toy Wright Road Pendergrass","Jefferson","Georgia","30567",1053400,2020,13157,"Jackson","AGS2 is Non-Sortable. PGA1 is a Seasonal Supplemental FC","429 Toy Wright Road Pendergrass, Jefferson, Georgia, 30567","Toy Wright Rd, Pendergrass, GA, United States of America",34.182314,-83.653371
"AGS1","2150 Discovery Drive","Appling","Georgia","30802-0078",450000,2021,13073,"Columbia","Small Sortable - Books. Toys, and Small Household Goods 5-story building","2150 Discovery Drive, Appling, Georgia, 30802-0078","Appling, Georgia, United States of America",33.573999,-82.312058
"SAV3","7001 Skipper Road","Macon","Georgia","31216-6427",1016000,2019,13021,"Bibb","Large Non-Sortable","7001 Skipper Road, Macon, Georgia, 31216-6427","Amazon Fulfillment Center, 7001 Skipper Road, Macon, GA 31216, United States of America",32.7204295,-83.725539
"","Bellevue Ave and S Williamson Blvd","Daytona Beach","Florida","32114",600000,2024,12127,"Volusia","Small Sortable. Project Tarpon.","Bellevue Ave and S Williamson Blvd, Daytona Beach, Florida, 32114","Daytona Beach, Florida, United States of America",29.188153,-81.081648
"JAX2","12900 Pecan Park Road","Jacksonville","Florida","32218-2432",875600,2017,12031,"Duval","Small Sortable","12900 Pecan Park Road, Jacksonville, Florida, 32218-2432","Amazon Fulfillment Center JAX2, 12900 Pecan Park Road, Jacksonville, FL 32218, United States of America",30.4653236,-81.6802939
"JAX7","10501 Cold Storage Road Unit 500, Building E, Imeson Park, Duval","Jacksonville","Florida","32218",1011900,2021,12031,"Duval","Specialty Soft Lines Fulfillment Center (apparel, shoes, luggage, jewelry and private label)","10501 Cold Storage Road Unit 500, Building E, Imeson Park, Duval, Jacksonville, Florida, 32218","Claudia Dr, Jacksonville, FL, United States of America",30.443357,-81.626344
"JAX3","13333 103rd St","Jacksonville","Florida","32221-8686",101600,2017,12031,"Duval","Large Non-Sortable","13333 103rd St, Jacksonville, Florida, 32221-8686","Amazon Fulfillment Center JAX3, 13333 103rd Street, Jacksonville, FL 32221, United States of America",30.2483719,-81.8639586
"","6720 Mahan Drive","Tallahassee","Florida","32308",630000,2022,12073,"Leon","Small Sortable 4-story Building Project Mango","6720 Mahan Drive, Tallahassee, Florida, 32308","Mahan Drive, Tallahassee, FL 32308, United States of America",30.4583151,-84.2331108
"MCO2","2600 N Normandy Blvd","Deltona","Florida","32725-2610",1000000,2020,12127,"Volusia","Large Non-Sortable Project Normandy","2600 N Normandy Blvd, Deltona, Florida, 32725-2610","2600 North Normandy Boulevard, Deltona, FL 32725, United States of America",28.9404866,-81.2576008
"SFL1/DMO1/UFL4","7469 Kingspointe Pkwy","Orlando","Florida","32819-8587",224200,2016,12095,"Orange","SFL1 is a Mini Fulfillment Center / UFL4 is a Prime Warehouse. Same Day Service Within 45 Minute Drive Time.","7469 Kingspointe Pkwy, Orlando, Florida, 32819-8587","7469 Kingspointe Parkway, Orlando, FL 32819, United States of America",28.4606673,-81.4406319
"XUSF","901 W Landstreet Rd Suite C","Orlando","Florida","32824-8028",180000,2014,12095,"Orange","Large Non-Sortable Run by 3PL NFI","901 W Landstreet Rd Suite C, Orlando, Florida, 32824-8028","West Landstreet Road, Orange County, FL 32859, United States of America",28.4359547,-81.4090273
"MCO3","8825 Boggy Creek Road","Orlando","Florida","32824",339000,2021,12095,"Orange","Specialty - Role of Facility TBD","8825 Boggy Creek Road, Orlando, Florida, 32824","8825 Boggy Creek Road, Orlando, FL 32824, United States of America",28.4376987,-81.3486793
"MCO1","12340 Boggy Creek Rd Lake Nona","Orlando","Florida","32824-6902",855000,2018,12095,"Orange","Small Sortable","12340 Boggy Creek Rd Lake Nona, Orlando, Florida, 32824-6902","Greco Dr, Orlando, FL, United States of America",28.390754,-81.382128
"","13200 Southwest 272nd Street Homestead","Miami","Florida","33032",110000,2021,12086,"Miami-Dade","Large Non-Sortable","13200 Southwest 272nd Street Homestead, Miami, Florida, 33032","SW 272nd Cir, Princeton, FL, United States of America",25.515452,-80.387504
"MIA1","14000 NW 37th Ave","Opa-Locka","Florida","33054",855000,2019,12086,"Miami-Dade","Small Sortable","14000 NW 37th Ave, Opa-Locka, Florida, 33054","14000 Northwest 37th Avenue, Opa-locka, FL 33054, United States of America",25.9029735,-80.2602148
"PMI2","8725 NW 13th Terrace Doral","Miami","Florida","33172",100000,2020,12086,"Miami-Dade","Amazon Pharmacy #003 - PillPack Miami Distribution Center","8725 NW 13th Terrace Doral, Miami, Florida, 33172","8725 Northwest 13th Terrace, Doral, FL 33172, United States of America",25.785618,-80.3376345
"SFL3","6901 N Hiatus Rd Building 2","Tamarac","Florida","33321-6433",178200,2021,12011,"Broward","SFL3 is a Mini Fulfillment Center with Same Day Seivice Within 45 Minute Drive Time.","6901 N Hiatus Rd Building 2, Tamarac, Florida, 33321-6433","Hiatus Rd, Fort Lauderdale, FL, United States of America",26.2082,-80.291134
"","West side of Hiatus Road Between NW 44th Street and NW 44th Street","Sunrise","Florida","33351",824000,2022,12011,"Broward","Role of Facility TBD.","West side of Hiatus Road Between NW 44th Street and NW 44th Street, Sunrise, Florida, 33351","Fort Lauderdale, Florida, United States of America",26.173729,-80.293664
"PBI2/HPB2","14490 Corporate Rd North","Jupiter","Florida","33478",1000000,2021,12099,"Palm Beach","Large Non-Sortable. HPB2 is a delivery station co-located in the FC.","14490 Corporate Rd North, Jupiter, Florida, 33478","Corporate Rd N, Jupiter, FL, United States of America",26.90854,-80.272885
"TPA1","3350 Laurel Ridge Ave","Ruskin","Florida","33570-5526",1017600,2014,12057,"Hillsborough","Small Sortable 3.500 full time people Investment §200 Million. Facility expanded (doubled) in 2015 - 2016","3350 Laurel Ridge Ave, Ruskin, Florida, 33570-5526","TPA1 Amazon Fulfillment Center, 3350 Laurel Ridge Avenue, Hillsborough County, FL 33570, United States of America",27.7282687,-82.388158
"SFL4","6337 County Road 579","Seffner","Florida","33584",151500,2021,12057,"Hillsborough","SFL4 is a Mini Fulfillment Center with Same Day Seivice Within 45 Minute Drive Time.","6337 County Road 579, Seffner, Florida, 33584","Co Rd 579, Seffner, FL, United States of America",28.018406,-82.302572
"SFL2","7004 E Broadway Ave","Tampa","Florida","33619-1831",293000,2021,12057,"Hillsborough","SFL2 is a Mini Fulfillment Center with Same Day Service for Tampa Within 45 Minute Drive Time","7004 E Broadway Ave, Tampa, Florida, 33619-1831","7004 East Broadway Avenue, Tampa, FL 33619, United States of America",27.966843,-82.376316
"TPA4","8706 Harney Road","Temple Terrace","Florida","33637-6716",465000,2021,12057,"Hillsborough","Small Sortable - 4-Story Building.","8706 Harney Road, Temple Terrace, Florida, 33637-6716","8706 Harney Road, Temple Terrace, FL 33637, United States of America",28.0292519,-82.356199
"PFL2","8060 State Road 33 N","Lakeland","Florida","33809-1704",440000,2020,12105,"Polk","Amazon uses a portion of this space as a seasonal facility","8060 State Road 33 N, Lakeland, Florida, 33809-1704","State Rd 33 N, Polk City, FL, United States of America",28.14772,-81.888532
"TPA2/LAL1","1760 County Line Rd","Lakeland","Florida","33811-1808",1000000,2014,12105,"Polk","Large Sortable/Non-Sortable Ships items such as televisions 800 full time people Investment §102 Million.","1760 County Line Rd, Lakeland, Florida, 33811-1808","TPA2 Amazon Fulfillment Center, 1760 County Line Road, Lakeland, FL 33811, United States of America",28.0200312,-82.0538376
"TPA3","576 C Fred Jones Blvd","Auburndale","Florida","33823",1078000,2020,12105,"Polk","Large Non-Sortable.","576 C Fred Jones Blvd, Auburndale, Florida, 33823","C Fred Jones Boulevard, Auburndale, FL 33823, United States of America",28.1503559,-81.8099938
"MCO4","2314 Waverly Barn Rd Suite 150","Davenport","Florida","33897-8601",406200,2021,12105,"Polk","Specialty - Role of Facility TBD","2314 Waverly Barn Rd Suite 150, Davenport, Florida, 33897-8601","Waverly Barn Rd, Four Corners, FL, United States of America",28.2447,-81.659496
"PFL1","1001 13th Avenue East","Bradenton","Florida","34208-2656",NA,2020,12081,"Manatee","Amazon uses a portion of the Tropicana space as a seasonal facility","1001 13th Avenue East, Bradenton, Florida, 34208-2656","1001 13th Avenue East, Bradenton, FL 34208, United States of America",27.4881544,-82.5541985
"","East of I95/South of Midway Rd Midway Business Park","Port St Lucie","Florida","34986",1100000,2022,12111,"St. Lucie","Large Non-Sortable. 500 associates.","East of I95/South of Midway Rd Midway Business Park, Port St Lucie, Florida, 34986","NW Lisa Ct, Port Saint Lucie, FL, United States of America",27.356759,-80.40702
"","SW Kanner Highway 76 & SW 96th Street","Stuart","Florida","34997",1000000,2022,12085,"Martin","Role of Facility TBD Project not confirmed","SW Kanner Highway 76 & SW 96th Street, Stuart, Florida, 34997","Stuart, Florida, United States of America",27.088293,-80.306972
"BHM1","975 Powder Plant Road","Bessemer","Alabama","35022-5497",855000,2020,1073,"Jefferson","Project Bluebird. Small Sortable.","975 Powder Plant Road, Bessemer, Alabama, 35022-5497","Amazon Fulfillment Center - BHM1, 975 Powder Plant Road, McAdory, Bessemer, AL 35022, United States of America",33.3771656,-87.0055103
"","Gunters Way & Fanning Drive","Huntsville","Alabama","35671",1000000,2022,1083,"Limestone","Large Non-Sortable FC. Project Laser.","Gunters Way & Fanning Drive, Huntsville, Alabama, 35671","Tanner, Alabama, United States of America",34.731395,-86.969864
"HSV1","7816 Greenbrier Rd","Huntsville","Alabama","35756",1000000,2021,1083,"Limestone","Large Non-Sortable FC.","7816 Greenbrier Rd, Huntsville, Alabama, 35756","7816 Greenbrier Road, Greenbrier, Huntsville, AL 35756, United States of America",34.667759,-86.8434532
"RAD1","3818 Logistics Way","Antioch","Tennessee","37013-4189",517500,2020,47037,"Davidson","","3818 Logistics Way, Antioch, Tennessee, 37013-4189","Antioch, Tennessee, United States of America",36.036032,-86.645598
"","2800 International Blvd","Clarksville","Tennessee","37043",110000,2022,47125,"Montgomery","Non-Sortable Fulfillment Center for Clarksville TN. Project Alice.","2800 International Blvd, Clarksville, Tennessee, 37043","International Boulevard, Clarksville, TN 37040, United States of America",36.5789634,-87.2597618
"BNA2","500 Duke Dr","Lebanon","Tennessee","37090-8123",1200000,2013,47189,"Wilson","Large Non-Sortable","500 Duke Dr, Lebanon, Tennessee, 37090-8123","Duke Drive, Lebanon, TN, United States of America",36.1274658,-86.4050146
"MQY1","6060 Golden Bear Gateway","Mount Juliet","Tennessee","37122-1413",640000,2021,47189,"Wilson","Project Sam. 5-story Automated Small Sortable FC.","6060 Golden Bear Gateway, Mount Juliet, Tennessee, 37122-1413","Golden Bear Gateway, Mount Juliet, TN 37122, United States of America",36.2066736,-86.4972764
"BNA3","2020 Joe B Jackson Pkwy","Murfreesboro","Tennessee","37127-7792",100000,2012,47149,"Rutherford","Specialty","2020 Joe B Jackson Pkwy, Murfreesboro, Tennessee, 37127-7792","Joe B. Jackson Parkway, Murfreesboro, TN 37127, United States of America",35.7800275,-86.3614113
"STN1/HBN1/VTN1","10 Dell Parkway","Nashville","Tennessee","37217-2830",100000,2020,47037,"Davidson","STN1 is a Mini Fulfillment Center / Amazon Fresh / Delivery Station for Same Day Delivery to Nashville within 45 minute drive time. HBN1 is a Heavy/Bulky Delivery Station","10 Dell Parkway, Nashville, Tennessee, 37217-2830","Dell Parkway, Nashville-Davidson, TN 37217, United States of America",36.1077964,-86.6768519
"CHA2","225 Infinity Dr NW","Charleston","Tennessee","37310-1400",1016100,2011,47011,"Bradley","Large Non-Sortable (e g coffee makers, lawn tractors, barbecue grills, and water heaters along with bulk items)","225 Infinity Dr NW, Charleston, Tennessee, 37310-1400","Charleston, Tennessee, United States of America",35.224608,-84.717221
"CHAI","7200 Discovery Drive","Chattanooga","Tennessee","37416-1749",1020000,2011,47065,"Hamilton","CHAI is Specialty Soft Lines","7200 Discovery Drive, Chattanooga, Tennessee, 37416-1749","Discovery Drive, Chattanooga, TN 37416, United States of America",35.0749567,-85.1481703
"","4101 S Singleton Station Rd Rockford","Alcoa","Tennessee","37853",634800,2022,47009,"Blount","Project Pearl. Small Sortable fulfillment center.","4101 S Singleton Station Rd Rockford, Alcoa, Tennessee, 37853","4101 South Singleton Station Road, Lakemont, Alcoa, TN 37853, United States of America",35.8347637,-83.9563659
"MEM4","4055 New Allen Road Raleigh","North Memphis","Tennessee","38128-2718",855000,2020,47157,"Shelby","Project Iris. 5-story Small Sortable FC.","4055 New Allen Road Raleigh, North Memphis, Tennessee, 38128-2718","Allen Rd, Memphis, TN, United States of America",35.206662,-89.953972
"MEM2","191 Norfolk Southern Way","Byhalia","Mississippi","38611-2306",554000,2019,28093,"Marshall","Specialty FC for Hazardous Goods","191 Norfolk Southern Way, Byhalia, Mississippi, 38611-2306","Southern Ave, Senatobia, MS, United States of America",34.613601,-89.976846
"","850 Gateway Global Drive","Byhalia","Mississippi","38611",100000,2021,28093,"Marshall","Large Non-Sortable Facility.","850 Gateway Global Drive, Byhalia, Mississippi, 38611","Byhalia, Mississippi, United States of America",34.87232,-89.69064
"MEM3/PIL1","1615 Commerce Parkway N Building D","Horn Lake","Mississippi","38637-2313",860900,2020,28033,"DeSoto","MEM3 is a large non-sortable PILI is a Seasonal Overflow Facility.","1615 Commerce Parkway N Building D, Horn Lake, Mississippi, 38637-2313","Commerce Plz, Clarksdale, MS, United States of America",34.185856,-90.589867
"MEM6","11505 Progress Way","Olive Branch","Mississippi","38654",1000000,2020,28033,"DeSoto","Large Non-Sortable","11505 Progress Way, Olive Branch, Mississippi, 38654","Olive Branch, Mississippi, United States of America",34.921172,-89.869062
"JAN1","219 Madison County Parkway Canton","Madison","Mississippi","39046",700000,2022,28089,"Madison","Land Acquired Small Sortable","219 Madison County Parkway Canton, Madison, Mississippi, 39046","S Madison St, Canton, MS, United States of America",32.611124,-90.023169
"LUK7","649 Omega Prkwy","Shepherdsville","Kentucky","40165-8501",611000,2020,21029,"Bullitt","Role of Facility TBD.","649 Omega Prkwy, Shepherdsville, Kentucky, 40165-8501","Park Ave, Shepherdsville, KY, United States of America",38.059493,-85.677002
"SDF4","376 Amazoncom Blvd","Shepherdsville","Kentucky","40165-8556",823000,2006,21029,"Bullitt","Specialty FC: Apparel /Footwear support Zappos.com","376 Amazoncom Blvd, Shepherdsville, Kentucky, 40165-8556","Shepherdsville, Kentucky, United States of America",37.959505,-85.704609
"SDF6","271 Omega Pkwy","Shepherdsville","Kentucky","40165-8505",118000,2012,21029,"Bullitt","Specialty FC Apparel /Footwear support Zappos com","271 Omega Pkwy, Shepherdsville, Kentucky, 40165-8505","Omega Parkway, Shepherdsville, Bullitt County, KY 40165, United States of America",37.978105,-85.683374
"SDF9","100 W Thomas P Echols Lane St 3","Shepherdsville","Kentucky","40165-7594",600000,2013,21029,"Bullitt","Returns Center Apparel/Footwear","100 W Thomas P Echols Lane St 3, Shepherdsville, Kentucky, 40165-7594","Thomas St, Radcliff, KY, United States of America",37.826172,-85.933695
"SDF2","4360 Robards Lane","Louisville","Kentucky","40218-4512",125000,2005,21111,"Jefferson","Specialty FC: High Value watches, and jewelry","4360 Robards Lane, Louisville, Kentucky, 40218-4512","4360 Robards Lane, Watterson Park, Jefferson County, KY 40218, United States of America",38.1951343,-85.6927171
"LEX1/LEX3","1850 Mercer Drive","Lexington","Kentucky","40511-1013",650000,2000,21067,"Fayette","LEX1: Returns. LEX3: Printing Make on Demand (MOD) Also used for Dry Grocery distribution.","1850 Mercer Drive, Lexington, Kentucky, 40511-1013","Mercer Rd, Lexington, KY, United States of America",38.077585,-84.530225
"LEX2","172 Trade St","Lexington","Kentucky","40511-2607",380000,2006,21067,"Fayette","Warehouse Deals and Returns Center","172 Trade St, Lexington, Kentucky, 40511-2607","Amazon Fullfillment Center Warehouse LEX2, 172 Trade Street, Viley, Lexington, KY 40511, United States of America",38.0747999,-84.5493769
"IVSA","4620 Olympic Blvd","Erlanger","Kentucky","41018",109200,2015,21117,"Kenton","Specialty Small and Light Products","4620 Olympic Blvd, Erlanger, Kentucky, 41018","4620 Olympic Boulevard, Erlanger, KY 41018, United States of America",39.0426606,-84.6185606
"LEX5","4600 Olympic Blvd","Erlanger","Kentucky","41018",134000,2020,21117,"Kenton","Role of Facility TBD","4600 Olympic Blvd, Erlanger, Kentucky, 41018","4600 Olympic Boulevard, Erlanger, KY 41018, United States of America",39.0426178,-84.6185162
"CVG2","1600 Worldwide Blvd","Hebron","Kentucky","41048-8640",543000,2005,21015,"Boone","Returns Center","1600 Worldwide Blvd, Hebron, Kentucky, 41048-8640","Amazon Fullfillment Center CVG2, 1600 Worldwide Boulevard, Hebron, Boone County, KY 41048, United States of America",39.0874404,-84.7258207
"IVSB/HCN1","3521 Point Pleasant Road Unit 2","Hebron","Kentucky","41048",264000,2017,21015,"Boone","IVSB is Specialty Small and Light Products HCN1 is a Heavy/Bulky delivery station","3521 Point Pleasant Road Unit 2, Hebron, Kentucky, 41048","Amazon AUV1, 3521 Point Pleasant Road, Hebron, Boone County, KY 41048, United States of America",39.0571101,-84.6407739
"CVG1","1155 Worldwide Blvd Bldg, F Park W Inti","Hebron","Kentucky","41048-8640",484000,2005,21015,"Boone","Specialty Fulfillment Center Apparel for Endless.com. Myhabit and Amazon Apparel","1155 Worldwide Blvd Bldg, F Park W Inti, Hebron, Kentucky, 41048-8640","1155 Worldwide Blvd, Hebron, KY, United States of America",39.084729,-84.724616
"SDF1","1050 South Columbia Avenue","Campbellsville","Kentucky","42718-2454",770000,1999,21217,"Taylor","Specialty Soft Lines. Expanded from 570.000 Sq. Ft. in 1999","1050 South Columbia Avenue, Campbellsville, Kentucky, 42718-2454","1050 South Columbia Avenue, Campbellsville, KY 42718, United States of America",37.3264605,-85.3527195
"","Beech Road S of State 161 Interchange","New Albany","Ohio","43054",700000,2022,39049,"Franklin","Small Sortable 4-story Building. Not yet confirmed.","Beech Road S of State 161 Interchange, New Albany, Ohio, 43054","State Rte 161, New Albany, OH, United States of America",40.090323,-82.836328
"CMH1","11903 National Rd SW","Etna","Ohio","43062-7793",855000,2016,39089,"Licking","Small Sortable: Specialty Small and Light 2500 associates. 5.000 Robots","11903 National Rd SW, Etna, Ohio, 43062-7793","11903 National Road Southwest, Wagram, Etna, OH 43062, United States of America",39.9568316,-82.7132075
"","8591 Mink St SW","Pataskala","Ohio","43062",123210,2021,39089,"Licking","Large Non-Sortable. Includes DCM5 Delivery Station.","8591 Mink St SW, Pataskala, Ohio, 43062","8591 Mink Street Southwest, Wagram, Pataskala, OH 43062, United States of America",39.9683232,-82.7291481
"CMH2","6050 Gateway Court","Groveport","Ohio","43125-9016",1000000,2016,39049,"Franklin","Large Non-Sortable 1.000 associates","6050 Gateway Court, Groveport, Ohio, 43125-9016","Gateway Cir, Grove City, OH, United States of America",39.887395,-83.044174
"CMH6/HCM1","3538 TradePort Court Building 2","Lockbourne","Ohio","43137-9670",514500,2019,39049,"Franklin","CMH6 is a Large Non-Sortable FC: HCM1 is a Heavy/Bulky Delivery Station","3538 TradePort Court Building 2, Lockbourne, Ohio, 43137-9670","Lockbourne, Ohio, United States of America",39.80923,-82.972404
"POH2","2155 Rohr Road Franklin","Lockbourne","Ohio","43137-7566",NA,2020,39049,"Franklin","Amazon uses a portion of this space as a seasonal facility","2155 Rohr Road Franklin, Lockbourne, Ohio, 43137-7566","Rohr Rd, Lockbourne, OH, United States of America",39.845292,-82.945702
"CMH4","1550 W Main St","West Jefferson","Ohio","43162-9747",855000,2020,39097,"Madison","Fulfillment center for smaller items: electronics, books and toys","1550 W Main St, West Jefferson, Ohio, 43162-9747","W Main St, West Jefferson, OH, United States of America",39.943161,-83.29577
"POH1","3880 Groveport Road","Obetz","Ohio","43207",NA,2018,39049,"Franklin","Amazon uses a portion of this space as a seasonal facility","3880 Groveport Road, Obetz, Ohio, 43207","3880 Groveport Road, Obetz, Hamilton Township, OH 43207, United States of America",39.8879683,-82.9551225
"PCW1","27400 Crossroads Parkway","Rossford","Ohio","43551",700300,2020,39173,"Wood","Project Freddie. 1000 associates.","27400 Crossroads Parkway, Rossford, Ohio, 43551","Crossroads Parkway, Rossford, Wood County, OH 43551, United States of America",41.5452226,-83.5854413
"CLE1","21500 Emery Road","North Randall","Ohio","44128-4546",855000,2018,39035,"Cuyahoga","Small Sortable","21500 Emery Road, North Randall, Ohio, 44128-4546","Amazon Fullfillment Center, 21500 Emery Road, North Randall, Cuyahoga County, OH 44128, United States of America",41.4325025,-81.5318834
"SOH1","6895 Engle Rd","Middleburg Heights","Ohio","44130",150000,2021,39035,"Cuyahoga","Mini Fulfillment Center / Amazon Fresh / Delivery Station for Cleveland with Same Day Delivery Service within 45 Minutes Drive Time.","6895 Engle Rd, Middleburg Heights, Ohio, 44130","6895 Engle Road, Middleburg Heights, OH 44130, United States of America",41.3812739,-81.824175
"CLE2","1155 Babbitt Road","Euclid","Ohio","44132-2703",650000,2019,39035,"Cuyahoga","Small Sortable","1155 Babbitt Road, Euclid, Ohio, 44132-2703","1155 Babbitt Road, Euclid, OH 44132, United States of America",41.5929116,-81.5116384
"AKC1","2450 Romig Road","Akron","Ohio","44320-3827",640000,2020,39153,"Summit","Project Carney 4-story building","2450 Romig Road, Akron, Ohio, 44320-3827","2450 Romig Road, Akron, OH 44320, United States of America",41.0476754,-81.5809361
"","3550 Columbus Road","Canton","Ohio","44705",1000000,2022,39151,"Stark","Large Non-Sortable","3550 Columbus Road, Canton, Ohio, 44705","3550 Columbus Road Northeast, Canton, OH 44705, United States of America",40.8479325,-81.3183969
"CMH3","700 Gateway Blvd","Monroe","Ohio","45050-1848",994000,2019,39017,"Butler","Large Non-Sortable","700 Gateway Blvd, Monroe, Ohio, 45050-1848","CMH3, 700 Gateway Boulevard, Monroe, OH 45050, United States of America",39.4281535,-84.3304268
"SOH2","1120 Strategic Parkway Building 2","Springdale","Ohio","45246",207300,2021,39061,"Hamilton","Mini Fulfillment Center / Amazon Fresh / Delivery Station for Cincinnati with Same Day Delivery Service within 45 Minutes Drive Time","1120 Strategic Parkway Building 2, Springdale, Ohio, 45246","Strategic Parkway, Springdale, OH 45246, United States of America",39.2998725,-84.4628547
"DAY1","Dog Leg Road & Old Springfield Road Union","Dayton","Ohio","45377",630000,2022,39113,"Montgomery","Small Sortable 4-story Building.","Dog Leg Road & Old Springfield Road Union, Dayton, Ohio, 45377","Vandalia, Ohio, United States of America",39.911035,-84.183985
"LUK2","1835 Union Airpark Boulevard Montgomery","Union","Ohio","45377",116850,2022,39113,"Montgomery","Large Non-Sortable for Dayton","1835 Union Airpark Boulevard Montgomery, Union, Ohio, 45377","N Montgomery County Line Rd, Tipp City, OH, United States of America",39.922421,-84.22934
"IND1","4255 Anson Blvd","Whitestown","Indiana","46075-4412",110000,2008,18011,"Boone","Large & Small Sortable Expanded by 400,000 Sq. Ft. in February. 2011. 2,500 associates.","4255 Anson Blvd, Whitestown, Indiana, 46075-4412","Amazon.com Fulfillment Center (IND1), 4255 Anson Blvd, Whitestown, Boone County, IN 46075, United States of America",39.9796754,-86.3796545
"XUSE","5490 Industrial Court Suite 300","Whitestown","Indiana","46075",624000,2013,18011,"Boone","Large Non-Sortable","5490 Industrial Court Suite 300, Whitestown, Indiana, 46075","Industrial Dr, Carmel, IN, United States of America",39.974713,-86.134988
"SIN9","305 Chaney Ave","Greenwood","Indiana","46143-0116",193300,2021,18081,"Johnson","Mini Fulfillment Center / Amazon Fresh / Delivery Station for Indianapolis. Same Day Service Within 45 Minute Drive Time.","305 Chaney Ave, Greenwood, Indiana, 46143-0116","Shawnee Ct, Greenwood, IN, United States of America",39.582059,-86.187179
"IND2/IND3","715 & 717 Airtech Parkway","Plainfield","Indiana","46168-7442",947300,2008,18063,"Hendricks","IND2 is Large Non-Sortable IND3 is BlSS/Small Parts","715 & 717 Airtech Parkway, Plainfield, Indiana, 46168-7442","Plainfield, Indiana, United States of America",39.70421,-86.39944
"IND5","800 Perry Road","Plainfield","Indiana","46168-7637",925800,2011,18063,"Hendricks","Large Non-Sortable Specialty Facility for HazMat merchandise","800 Perry Road, Plainfield, Indiana, 46168-7637","800 Perry Road, Plainfield, IN 46168, United States of America",39.6949913,-86.3557817
"MQJ2/HIN2","19 Bob Glidden Blvd","Whiteland","Indiana","46184-9108",530000,2020,18081,"Johnson","Large Non-Sortable HIN2 is a heavy/bulky delivery station","19 Bob Glidden Blvd, Whiteland, Indiana, 46184-9108","Gladden Rd, Plainfield, IN, United States of America",39.708044,-86.366022
"PIN2","3620 Plainfield Rd Building 4, Hendricks","Indianapolis","Indiana","46231",253800,2021,18063,"Hendricks","Amazon uses a portion of this space as a seasonal facility","3620 Plainfield Rd Building 4, Hendricks, Indianapolis, Indiana, 46231","Plainfield Ave, Indianapolis, IN, United States of America",39.749796,-86.238293
"IND4/IND8/UIN1","710 South Girls School Road","Indianapolis","Indiana","46231-1132",902900,2011,18063,"Hendricks","IND4 is a Small Sortable mainly for shoes and VNA Soft Lines Fulfillment Center IND8 is a Returns Center","710 South Girls School Road, Indianapolis, Indiana, 46231-1132","710 South Girls School Road, Indianapolis, IN 46231, United States of America",39.7546832,-86.2890998
"IND7","9101 Orly Drive","Indianapolis","Indiana","46241-9605",695300,2016,18097,"Marion","Supplemental Fulfillment Center set up inside of an existing Pepsi building near the IND airport. IND7 stows sortable case transshipped from IXD (cross dock) facilities, and then ships trans-out to nearby FC’s (INDI, MKE1. LEX1).","9101 Orly Drive, Indianapolis, Indiana, 46241-9605","Oriole Ct, Indianapolis, IN, United States of America",39.743622,-86.329746
"PIN1","5510 Exploration Dr Marion","Indianapolis","Indiana","46241-9007",NA,2019,18097,"Marion","Amazon uses a portion of this space as a seasonal facility","5510 Exploration Dr Marion, Indianapolis, Indiana, 46241-9007","5510 Exploration Drive, Indianapolis, IN 46241, United States of America",39.6826626,-86.3146823
"EKI1","","Elkhart","Indiana","46514",800000,2023,18039,"Elkhart","5-Story Small Sortable FC",", Elkhart, Indiana, 46514","Elkhart County, Indiana, United States of America",41.6012796,-85.8590603
